"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"SURAKSHA","Suraksha Diagnostic Limited","7(2)","Aparajita Chatterjee","Promoter Group","Equity Shares","10446","0.02",,"11044","3101818","Buy","Equity Shares","21490","0.04","20-Feb-2026","20-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194211_1628325_20022026040332_WEB.xml"
"RILINFRA","Rachana Infrastructure Limited","7(2)","GIRISHKUMAR OCHCHHAVLAL RAVAL","Promoters","Equity Shares","6041481","32.47",,"1700","64413","Buy","Equity Shares","6043181","32.48","18-Feb-2026","18-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 15:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194209_1628309_20022026034857_WEB.xml"
"BLBLIMITED","BLB Limited","7(2)","Brij Rattan Bagri","Promoters","Equity Shares","22980827","43.47",,"125000","2250000","Buy","Equity Shares","23105827","43.71","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 15:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194207_1628295_20022026032514_WEB.xml"
"NAHARPOLY","Nahar Poly Films Limited","7(2)","CLOSETTRUNK PRIVATE LIMITED","Promoter Group","Equity Shares","28397","0.12",,"15000","3679489","Buy","Equity Shares","43397","0.18","18-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 15:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194205_1628292_20022026032408_WEB.xml"
"NAHARSPING","Nahar Spinning Mills Limited","7(2)","NAHAR CAPITAL AND FINANCIAL SERVICES LIMITED","Promoter Group","Equity Shares","16833383","46.67",,"13219","2689008","Buy","Equity Shares","16846602","46.71","18-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 15:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194203_1628282_20022026031630_WEB.xml"
"GANESHIN","Ganesh Infraworld Limited","7(2)","Rachita Agrawal","Promoters","Equity Shares","10858285","25.41",,"184000","17506715","Sell","Equity Shares","10674285","24.98","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","20-Feb-2026 15:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194202_1628277_20022026031232_WEB.xml"
"GANESHIN","Ganesh Infraworld Limited","7(2)","Promila Bhatia","Immediate relative","Equity Shares","89600","0.2",,"154400","14664912","Buy","Equity Shares","244000","0.57","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 15:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194198_1628265_20022026030255_WEB.xml"
"ORIENTBELL","Orient Bell Limited","7(2)","MAHENDRA K. DAGA","Promoters","Equity Shares","3058496","20.79",,"8000","2458013","Buy","Equity Shares","3066496","20.84","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 14:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194196_1628259_20022026025533_WEB.xml"
"SURYAROSNI","Surya Roshni Limited","7(2)","Cubitex Marketing Private Limited","Promoter Group","Equity Shares","19809597","9.1",,"50000","11309619","Buy","Equity Shares","19859597","9.13","17-Feb-2026","17-Feb-2026","18-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 14:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194194_1628244_20022026020032_WEB.xml"
"SURYAROSNI","Surya Roshni Limited","7(2)","Cubitex Marketing Private Limited","Promoter Group","Equity Shares","19859597","9.13",,"1518","338007","Buy","Equity Shares","19861115","9.13","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 14:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194194_1628244_20022026020032_WEB.xml"
"SDBL","Som Distilleries & Breweries Limited","7(2)","DEEPAK ARORA","Promoters","Equity Shares","4562525","2.19",,"10000","866653","Buy","Equity Shares","4572525","2.19","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 13:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194192_1628241_20022026014455_WEB.xml"
"SASTASUNDR","Sastasundar Ventures Limited","7(2)","BANWARI LAL MITTAL","Promoters","Equity Shares","10746603","33.78",,"5000","1455517","Buy","Equity Shares","10751603","33.8","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 13:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194190_1628238_20022026014130_WEB.xml"
"KSR","KSR Footwear Limited","7(2)","Siddhartha Roy Burman","Promoters","Equity Shares","1779533","9.68",,"49978","1575119","Buy","Equity Shares","1829511","9.95","17-Feb-2026","17-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 13:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194189_1628235_20022026013810_WEB.xml"
"BRIGHOTEL","Brigade Hotel Ventures Limited","7(2)","MYSORE HOLDINGS PRIVATE LIMITED","Other","Equity Shares","Nil","0",,"500000","31000000","Buy","Equity Shares","500000","0.13","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","BSE","-","20-Feb-2026 13:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194187_1628221_20022026012309_WEB.xml"
"DIAMINESQ","Diamines & Chemicals Limited","7(2)","Harsh A Mehta","Promoters","Equity Shares","507090","5.18",,"1014","240379","Buy","Equity Shares","508104","5.19","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","BSE","-","20-Feb-2026 12:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194184_1628205_20022026124746_WEB.xml"
"DIAMINESQ","Diamines & Chemicals Limited","7(2)","Mohak A Mehta","Promoters","Equity Shares","499451","5.1",,"200","47800","Buy","Equity Shares","499651","5.11","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","BSE","-","20-Feb-2026 12:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194184_1628205_20022026124746_WEB.xml"
"DIAMINESQ","Diamines & Chemicals Limited","7(2)","Cherry A Mehta","Promoters","Equity Shares","1070374","10.94",,"2000","478000","Buy","Equity Shares","1072374","10.96","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","BSE","-","20-Feb-2026 12:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194184_1628205_20022026124746_WEB.xml"
"NAHARCAP","Nahar Capital and Financial Services Limited","7(2)","CLOSETTRUNK PRIVATE LIMITED","Promoter Group","Equity Shares","75768","0.45",,"15346","3737658","Buy","Equity Shares","91114","0.54","18-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 12:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194182_1628198_20022026122459_WEB.xml"
"SHANKARA","Shankara Building Products Limited","7(2)","THE BALLYGUNGE FAMILY TRUST","Other","Equity Shares","5000","0.02",,"4000","413511","Buy","Equity Shares","9000","0.04","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 11:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194179_1628179_20022026115237_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","903880","1.92",,"2018","7284503","Sell","Equity Shares","901862","1.91","19-Feb-2026","19-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","20-Feb-2026 11:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194177_1628172_20022026114609_WEB.xml"
"DHARARAIL","Dhara Rail Projects Limited","7(2)","Medha Family Office LLP","Promoter Group","Equity Shares","265000","1.75",,"5000","615246","Buy","Equity Shares","270000","1.78","19-Feb-2026","19-Feb-2026","20-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 11:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194175_1628167_20022026113733_WEB.xml"
"ACUTAAS","Acutaas Chemicals Limited","7(2)","MEHUL MANSUKHBHAI KOLADIA","Employees/Designated Employees","Equity Shares","350000","0.43",,"20000","42204200","Sell","Equity Shares","330000","0.4","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","20-Feb-2026 11:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194174_1628159_20022026113304_WEB.xml"
"USK","Udayshivakumar Infra Limited","7(2)","Udayshivakumar","Promoters","Equity Shares","36127000","65.26",,"99999","2317269","Buy","Equity Shares","36226999","65.44","17-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 11:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194172_1628155_20022026112547_WEB.xml"
"STARCEMENT","Star Cement Limited","7(2)","Prem Kumar Bhajanka","Promoters","Equity Shares","41297327","10.22",,"1986700","427140500","Buy","Equity Shares","43284027","10.71","17-Feb-2026","17-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 11:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194169_1628141_20022026110809_WEB.xml"
"NIBL","NRB Industrial Bearings Limited","7(2)","AARTI DEVESH SAHNEY","Promoters","Equity Shares","1002410","4.14",,"13250","434733","Buy","Equity Shares","1015660","4.19","19-Feb-2026","19-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","-","-","20-Feb-2026 10:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194167_1628137_20022026105234_WEB.xml"
"BECTORFOOD","Mrs. Bectors Food Specialities Limited","7(2)","Bector Employee Welfare Trust","Other","Equity Shares","264500","0.09",,"7000","1526000","Buy","Equity Shares","271500","0.09","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","BSE","-","20-Feb-2026 10:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194166_1628135_20022026105104_WEB.xml"
"BECTORFOOD","Mrs. Bectors Food Specialities Limited","7(2)","Bector Employee Welfare Trust","Other","Equity Shares","271500","0.09",,"5000","1093999","Buy","Equity Shares","276500","0.09","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 10:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194166_1628135_20022026105104_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","LEBNITZE REAL ESTATES PVT LTD","Promoter Group","Equity Shares","504683","2.73",,"83","39507","Buy","Equity Shares","504766","2.73","17-Feb-2026","17-Feb-2026","18-Feb-2026","Market Purchase","-","-","0","0","0","0","BSE","-","20-Feb-2026 10:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194162_1628129_20022026102323_WEB.xml"
"STEL","Stel Holdings Limited","7(2)","LEBNITZE REAL ESTATES PVT LTD","Promoter Group","Equity Shares","504182","2.73",,"501","238470","Buy","Equity Shares","504683","2.73","17-Feb-2026","17-Feb-2026","18-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","20-Feb-2026 10:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194162_1628129_20022026102323_WEB.xml"
"SASKEN","Sasken Technologies Limited","7(2)","VINAY CHANDRASHEKHAR HARUGOP","-","Equity Shares","1000","0.01",,"400","511144","Sell","Equity Shares","600","0","10-Feb-2026","17-Feb-2026","18-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","19-Feb-2026 23:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194160_1628121_19022026113512_WEB.xml"
"VIKRAMSOLR","Vikram Solar Limited","7(2)","Gyanesh Chaudhary Family Trust","Promoters","Equity Shares","73086090","20.17",,"73086090","15775632526","Pledge Revoke","Equity Shares","73086090","20.17","19-Feb-2026","19-Feb-2026","19-Feb-2026","-","-","-","0","0","0","0","NA","-","19-Feb-2026 23:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194158_1628116_19022026110906_WEB.xml"
"VIKRAMSOLR","Vikram Solar Limited","7(2)","Vikram Capital Management Private Limited","Promoters","Equity Shares","111792900","30.85",,"21874803","4721676227","Pledge Revoke","Equity Shares","111792900","30.85","19-Feb-2026","19-Feb-2026","19-Feb-2026","-","-","-","0","0","0","0","NA","-","19-Feb-2026 23:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194158_1628116_19022026110906_WEB.xml"
"VIKRAMSOLR","Vikram Solar Limited","7(2)","Gyanesh Chaudhary Family Trust","Promoters","Equity Shares","73086090","20.17",,"73086090","15775632527","Pledge Revoke","Equity Shares","73086090","20.17","19-Feb-2026","19-Feb-2026","19-Feb-2026","Revokation of Pledge","-","-","0","0","0","0","NA","-","19-Feb-2026 23:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194158_1628116_19022026110906_WEB.xml"
"VIKRAMSOLR","Vikram Solar Limited","7(2)","Vikram Capital Management Private Limited","Promoters","Equity Shares","111792900","30.85",,"21874803","4721676228","Pledge Revoke","Equity Shares","111792900","30.85","19-Feb-2026","19-Feb-2026","19-Feb-2026","Revokation of Pledge","-","-","0","0","0","0","NA","-","19-Feb-2026 23:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194158_1628116_19022026110906_WEB.xml"
"EEPL","Eppeltone Engineers Limited","7(2)","DIVYA SHARMA","Promoter Group","Equity Shares","31930","0.24",,"2000","304000","Buy","Equity Shares","33930","0.26","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 21:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194156_1628101_19022026094303_WEB.xml"
"SPECIALITY","Speciality Restaurants Limited","7(2)","Anjan Chatterjee","Promoters","Equity Shares","12311809","25.52",,"10000","1009000","Buy","Equity Shares","12321809","25.55","17-Feb-2026","17-Feb-2026","18-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 21:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194154_1628091_19022026090623_WEB.xml"
"SPECIALITY","Speciality Restaurants Limited","7(2)","Anjan Chatterjee","Promoters","Equity Shares","12321809","25.55",,"15000","1519074","Buy","Equity Shares","12336809","25.58","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 21:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194154_1628091_19022026090623_WEB.xml"
"SPECIALITY","Speciality Restaurants Limited","7(2)","Anjan Chatterjee","Promoters","Equity Shares","12295000","25.49",,"16809","1695933","Buy","Equity Shares","12311809","25.52","16-Feb-2026","16-Feb-2026","17-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 21:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194154_1628091_19022026090623_WEB.xml"
"GANESHIN","Ganesh Infraworld Limited","7(2)","Promila Bhatia","Immediate relative","Equity Shares","68800","0.16",,"20800","1839599","Buy","Equity Shares","89600","0.2","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 20:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194151_1628085_19022026085025_WEB.xml"
"GALLANTT","Gallantt Ispat Limited","7(2)","Gallantt Industry Private Limited","Promoter Group","Equity Shares","2342642","0.97",,"10000","5749500","Buy","Equity Shares","2352642","0.98","19-Feb-2026","19-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 19:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194146_1628075_19022026073609_WEB.xml"
"ARIHANTCAP","Arihant Capital Markets Limited","7(2)","Ashok Kumar Jain HUF","Promoter Group","Equity Shares","Nil","0",,"2500000","171250000","Buy","Equity Shares","2500000","2.28","17-Feb-2026","17-Feb-2026","19-Feb-2026","Conversion of security","-","-","0","0","0","0","NA","-","19-Feb-2026 19:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194144_1628068_19022026072805_WEB.xml"
"ARIHANTCAP","Arihant Capital Markets Limited","7(2)","Arpit Jain HUF","Promoter Group","Equity Shares","Nil","0",,"2500000","171250000","Buy","Equity Shares","2500000","2.28","17-Feb-2026","17-Feb-2026","19-Feb-2026","Conversion of security","-","-","0","0","0","0","NA","-","19-Feb-2026 19:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194144_1628068_19022026072805_WEB.xml"
"KPIGREEN","KPI Green Energy Limited","7(2)","Quyosh Energia Private Limited","Promoter Group","Warrants","1599529","0.81",,"10100000","1187507500","Buy","Warrants","11699529","5.64","18-Feb-2026","18-Feb-2026","18-Feb-2026","Preferential Offer","-","-","0","0","0","0","NA","-","19-Feb-2026 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194142_1628063_19022026072149_WEB.xml"
"HEG","HEG Limited","7(2)","Shubha Churiwal","Promoter Group","Equity Shares","1500","0",,"1500","807918","Sell","Equity Shares","Nil","0","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","19-Feb-2026 19:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194140_1628059_19022026071717_WEB.xml"
"HEG","HEG Limited","7(2)","Sudha Churiwal","Promoter Group","Equity Shares","895","0",,"895","481995","Sell","Equity Shares","Nil","0","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","19-Feb-2026 19:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194140_1628059_19022026071717_WEB.xml"
"HEG","HEG Limited","7(2)","Nivedan Churiwal","Promoter Group","Equity Shares","3900","0",,"3900","2097444","Sell","Equity Shares","Nil","0","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","19-Feb-2026 19:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194140_1628059_19022026071717_WEB.xml"
"APOLLOPIPE","Apollo Pipes Limited","7(2)","S Gupta Holding Private Limited","Promoter Group","Equity Shares","Nil","0",,"525000","166451250","Buy","Equity Shares","525000","1.19","13-Feb-2026","13-Feb-2026","17-Feb-2026","Market Purchase","-","-","0","0","0","0","MSEI","-","19-Feb-2026 19:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194139_1628055_19022026071442_WEB.xml"
"TIMETECHNO","Time Technoplast Limited","7(2)","Time Exports Private Limited","Promoters","Equity Shares","44508400","9.02",,"155000","30006450","Buy","Equity Shares","44663400","9.05","19-Feb-2026","19-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 18:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194136_1628049_19022026065256_WEB.xml"
"LAXMIINDIA","Laxmi India Finance Limited","7(2)","Preeti Chopra","Promoter Group","Equity Shares","159612","0.31",,"75000","7608750","Sell","Equity Shares","84612","0.16","17-Feb-2026","19-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","19-Feb-2026 18:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194134_1628041_19022026064545_WEB.xml"
"PKTEA","The Peria Karamalai Tea & Produce Company Limited","7(2)","PLACID LIMITED","Promoter Group","Equity Shares","1208746","39.04",,"3481","2731872","Buy","Equity Shares","1212227","39.16","16-Feb-2026","17-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 18:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194132_1628038_19022026064354_WEB.xml"
"GOKUL","Gokul Refoils and Solvent Limited","7(2)","Arjunsinh Rajput","Promoter Group","Equity Shares","1000431","1.01",,"10862","432176","Buy","Equity Shares","1011293","1.02","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","BSE","-","19-Feb-2026 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194128_1628018_19022026061402_WEB.xml"
"GOKUL","Gokul Refoils and Solvent Limited","7(2)","Arjunsinh Rajput","Promoter Group","Equity Shares","1011293","1.02",,"66650","2585383","Buy","Equity Shares","1077943","1.08","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 18:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194128_1628018_19022026061402_WEB.xml"
"CURAA","Cura Technologies Limited","7(2)","Sanjana Lagumavarapu","Promoters","Equity Shares","20000","0.2",,"20000","1700000","Sell","Equity Shares","Nil","0","19-Feb-2026","19-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","BSE","-","19-Feb-2026 18:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194127_1628013_19022026060639_WEB.xml"
"ADVAIT","Advait Energy Transitions Limited","7(2)","Bhavesh Pradyumna Kundalia","Immediate relative","Equity Shares","4829","0.04",,"800","1372320","Sell","Equity Shares","4029","0.04","17-Feb-2026","17-Feb-2026","18-Feb-2026","Market Sale","-","-","0","0","0","0","BSE","-","19-Feb-2026 18:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194126_1628008_19022026060515_WEB.xml"
"FUSION","Fusion Finance Limited","7(2)","Devesh Sachdev","Promoters","Equity Shares","4553337","2.81",,"128974","24391537","Sell","Equity Shares","4424363","2.73","17-Feb-2026","17-Feb-2026","18-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","19-Feb-2026 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194122_1627988_19022026054841_WEB.xml"
"LFIC","Lakshmi Finance & Industrial Corporation Limited","7(2)","Healthy Investments Ltd","Promoter Group","Equity Shares","217340","7.24",,"217340","29775580","Sell","Equity Shares","Nil","0","18-Feb-2026","18-Feb-2026","19-Feb-2026","Off Market","-","-","0","0","0","0","NA","-","19-Feb-2026 17:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194120_1627985_19022026054237_WEB.xml"
"LFIC","Lakshmi Finance & Industrial Corporation Limited","7(2)","Unijolly Investments Company Ltd","Promoter Group","Equity Shares","296060","9.87",,"296060","40560220","Sell","Equity Shares","Nil","0","18-Feb-2026","18-Feb-2026","19-Feb-2026","Off Market","-","-","0","0","0","0","NA","-","19-Feb-2026 17:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194120_1627985_19022026054237_WEB.xml"
"LFIC","Lakshmi Finance & Industrial Corporation Limited","7(2)","Kanuri Invest and Exim LLP","Promoter Group","Equity Shares","Nil","0",,"513400","70335800","Buy","Equity Shares","513400","17.11","18-Feb-2026","18-Feb-2026","19-Feb-2026","Off Market","-","-","0","0","0","0","NA","-","19-Feb-2026 17:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194120_1627985_19022026054237_WEB.xml"
"NIITMTS","Niit Learning Systems Limited","7(2)","Jaswinder Singh Chadha","-","Equity Shares","Nil","0",,"20000","3541800","Buy","Equity Shares","20000","0.01","17-Feb-2026","17-Feb-2026","19-Feb-2026","ESOP","-","-","0","0","0","0","NA","-","19-Feb-2026 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194118_1627973_19022026052439_WEB.xml"
"NIITMTS","Niit Learning Systems Limited","7(2)","Devenderjit Singh Chadha","-","Equity Shares","Nil","0",,"80000","4311200","Buy","Equity Shares","80000","0.06","17-Feb-2026","17-Feb-2026","17-Feb-2026","ESOP","-","-","0","0","0","0","NA","-","19-Feb-2026 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194118_1627973_19022026052439_WEB.xml"
"AFFLE","Affle 3i Limited","7(2)","Anuj Kumar","Director","Equity Shares","73005","0.03",,"13000","19754051","Buy","Equity Shares","86005","0.06","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194116_1627970_19022026052124_WEB.xml"
"JUBLFOOD","Jubilant Foodworks Limited","7(2)","JFL Employees Welfare Trust","Other","Equity Shares","2155063","0.33",,"50000","26451010","Buy","Equity Shares","2205063","0.33","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","19-Feb-2026 17:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194114_1627966_19022026051925_WEB.xml"
"INFOBEAN","InfoBeans Techno. Ltd.","7(2)","Avinash Sethi","Promoters","Equity Shares","5879350","24.25",,"10254","9756784","Sell","Equity Shares","5869096","24.21","19-Feb-2026","19-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","19-Feb-2026 17:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194112_1627963_19022026051803_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","898590","1.91",,"5290","18947480","Buy","Equity Shares","903880","1.92","18-Feb-2026","18-Feb-2026","18-Feb-2026","Market Purchase","-","-","0","0","0","0","NSE","-","19-Feb-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194111_1627961_19022026051735_WEB.xml"
"CAMLINFINE","Camlin Fine Sciences Limited","7(2)","Ashish Subhash Dandekar","Director","Equity Shares","19778510","10.3",,"3000000","444720000","Pledge Revoke","Equity Shares","19778510","10.3","18-Feb-2026","18-Feb-2026","19-Feb-2026","-","-","-","0","0","0","0","NA","-","19-Feb-2026 17:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194108_1627947_19022026050601_WEB.xml"
"SMSPHARMA","SMS Pharmaceuticals Limited","7(2)","G. Suresh Kumar","Director","Equity Shares","17120","0.02",,"1120","414176","Sell","Equity Shares","16000","0.02","18-Feb-2026","18-Feb-2026","19-Feb-2026","Market Sale","-","-","0","0","0","0","NSE","-","19-Feb-2026 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1194106_1627933_19022026045548_WEB.xml"
