Ambiguous date pairs (both or neither archive file found):
2026-01-05 <-> 2026-01-06  files: True, True  count: 3
2026-01-13 <-> 2026-01-14  files: True, True  count: 3
2026-01-14 <-> 2026-01-16  files: True, True  count: 3
2026-03-12 <-> 2026-03-13  files: True, True  count: 3
2026-04-02 <-> 2026-04-06  files: True, True  count: 3
2026-04-06 <-> 2026-04-07  files: True, True  count: 3
2026-04-21 <-> 2026-04-22  files: True, True  count: 3
2021-10-21 <-> 2021-12-14  files: True, True  count: 2
2021-10-25 <-> 2021-10-26  files: True, True  count: 2
2021-12-22 <-> 2021-12-27  files: True, True  count: 2
2022-01-05 <-> 2022-01-06  files: True, True  count: 2
2022-03-29 <-> 2022-04-08  files: True, True  count: 2
2022-05-27 <-> 2022-05-30  files: True, True  count: 2
2022-07-20 <-> 2022-07-21  files: True, True  count: 2
2022-09-27 <-> 2022-09-28  files: True, True  count: 2
2022-10-10 <-> 2022-10-11  files: True, True  count: 2
2022-11-01 <-> 2022-11-02  files: True, True  count: 2
2022-11-04 <-> 2022-11-07  files: True, True  count: 2
2022-12-09 <-> 2022-12-13  files: True, True  count: 2
2022-12-23 <-> 2022-12-28  files: True, True  count: 2
2022-12-30 <-> 2023-01-06  files: True, True  count: 2
2023-02-27 <-> 2023-03-01  files: True, True  count: 2
2023-03-23 <-> 2023-04-10  files: True, True  count: 2
2023-04-25 <-> 2023-04-26  files: True, True  count: 2
2023-04-26 <-> 2023-05-15  files: True, True  count: 2
2023-05-05 <-> 2023-05-09  files: True, True  count: 2
2023-05-12 <-> 2023-05-15  files: True, True  count: 2
2023-07-21 <-> 2023-07-24  files: True, True  count: 2
2023-08-16 <-> 2023-08-18  files: True, True  count: 2
2023-09-21 <-> 2023-09-22  files: True, True  count: 2
2023-11-15 <-> 2023-11-16  files: True, True  count: 2
2024-06-21 <-> 2024-06-27  files: True, True  count: 2
2024-07-19 <-> 2024-07-22  files: True, True  count: 2
2024-07-24 <-> 2024-07-25  files: True, True  count: 2
2024-08-21 <-> 2024-08-26  files: True, True  count: 2
2024-08-27 <-> 2024-08-28  files: True, True  count: 2
2024-10-10 <-> 2024-10-15  files: True, True  count: 2
2024-10-17 <-> 2024-10-21  files: True, True  count: 2
2024-10-24 <-> 2024-10-25  files: True, True  count: 2
2024-10-25 <-> 2024-10-28  files: True, True  count: 2
2024-11-19 <-> 2024-11-22  files: True, True  count: 2
2024-12-23 <-> 2024-12-24  files: True, True  count: 2
2024-12-23 <-> 2024-12-26  files: True, True  count: 2
